['61', '431', '359', '340', '92', '94', '95', '97', '100', '101', '102', '103', '9', '474', '473', '115', '116', '117', '119', '470', '132', '135', '137']
['120', '311']
['471', '337', '323', '276', '283', '295', '307', '310', '485', '319', '456', '361', '457', '435', '190', '77', '443', '399', '160', '49', '48', '13', '105']
['55', '131', '122', '59', '50', '141', '251', '216', '271', '400', '390', '381', '373', '365', '360', '352', '350', '348', '345', '260', '333', '330', '328']
['320', '484', '222', '409', '214', '210', '202', '200', '177', '157', '155', '149', '147', '246', '143', '140', '138', '134', '123', '106', '104', '69', '64']
['181', '5', '193', '199', '455', '201', '204', '206', '207', '415', '209', '2', '453', '186', '10', '442', '465', '462', '437', '475', '1', '243', '407']
['41', '129', '411', '191', '45', '371', '264', '139', '4', '17', '218', '25', '316', '433', '164', '35', '37', '58', '67', '300', '153', '248', '154']
['317', '85', '33', '54', '479', '60', '63', '478', '66', '68', '72', '73', '476', '78', '80', '81', '53', '12', '464', '151', '217', '223', '226']
['483', '227', '230', '231', '232', '236', '239', '240', '449', '247', '447', '252', '253', '258', '268', '269', '270', '445', '274', '280', '215', '213', '212']
['109', '238', '261', '266', '275', '282', '452', '152', '159', '460', '161', '163', '165', '166', '171', '173', '175', '459', '183', '463', '185', '188', '189']
['107', '118', '124', '466', '284', '6', '88', '87', '86', '14', '16', '20', '22', '28', '29', '30', '42', '46', '482', '481', '51', '145', '52']
['146', '372', '422', '389', '421', '391', '394', '395', '397', '401', '403', '405', '408', '410', '366', '364', '363', '312', '313', '318', '321', '322', '324']
['406', '180', '331', '458', '192', '434', '195', '197', '182', '286', '257', '467', '38', '39', '419', '44', '420', '47', '398', '277', '480', '444', '289']
['424', '96', '82', '370', '376', '423', '93', '287', '291', '299', '292', '288', '441', '351', '438', '367', '368', '369', '379', '380', '384', '386', '388']
['429', '43', '184', '169', '158', '136', '196', '194', '259', '254', '309', '346', '353', '356', '375', '70', '121', '150', '244', '250', '256', '290', '293']
['19', '279', '112', '128', '130', '133', '468', '358', '98', '262', '74', '76', '383', '79', '382', '265', '378', '233', '377', '374', '305', '294', '304']
['205', '417', '281', '418', '24', '27', '15', '477', '65', '385', '71', '296', '446', '110', '111', '113', '114', '99', '440', '472', '357', '125', '127']
['75', '393', '57', '392', '273', '272', '298', '34', '278', '31', '402', '414', '3', '413', '412', '7', '8', '11', '387', '18', '21', '23', '26']
['32', '450', '306', '225', '439', '228', '229', '234', '219', '339', '302', '198', '168', '170', '448', '336', '174', '334', '178', '179', '327', '245', '332']
['56', '224', '108', '162', '144', '344', '461', '301', '249', '148', '208', '167', '454', '203', '242', '436', '241', '303', '211', '314', '325', '237', '220']
['255', '396', '362', '315', '326', '329', '432', '308', '341', '342', '343', '347', '349', '427', '354', '355', '426', '285', '416', '142', '89', '90', '91']
['62', '187', '430', '235', '425', '172', '126', '469', '176', '83', '267', '40', '338', '221', '297', '263', '451', '428', '156', '404', '335', '36', '84']
